Pais 1,Pais 2
Austria,Mexico
Austria,Croatia
Austria,Qatar
Austria,Greece
Austria,Uruguay
Austria,Japan
Austria,Costa Rica
Austria,Nepal
Austria,Argentina
Austria,France
Austria,Brazil
Austria,Portugal
Austria,Saudi Arabia
Austria,Thailand
Austria,Libya
Austria,Israel
Austria,India
Argentina,Spain
Argentina,Denmark
Argentina,Netherlands
Argentina,Chile
Argentina,Colombia
Argentina,Croatia
Argentina,Australia
Argentina,Sweden
Argentina,South Africa
Argentina,Germany
Argentina,Hong Kong
Argentina,Iran
Argentina,South Korea
Argentina,Thailand
Argentina,Saudi Arabia
Argentina,Austria
Argentina,Brazil
Argentina,United Arab Emirates
Australia,United Kingdom
Australia,Egypt
Australia,Germany
Australia,Turkey
Australia,Iran
Australia,Mexico
Australia,Switzerland
Australia,India
Australia,Netherlands
Australia,Colombia
Australia,Chile
Australia,New Zealand
Australia,Argentina
Australia,Greece
Australia,Croatia
Australia,Spain
Australia,South Africa
Australia,Libya
Australia,Italy
Brazil,United Kingdom
Brazil,South Africa
Brazil,Hong Kong
Brazil,Saudi Arabia
Brazil,Portugal
Brazil,China
Brazil,France
Brazil,Argentina
Brazil,Italy
Brazil,Denmark
Brazil,Croatia
Brazil,Turkey
Brazil,Iran
Brazil,New Zealand
Brazil,United States
Brazil,Greece
China,Mexico
China,Croatia
China,Switzerland
China,Nepal
China,Costa Rica
China,Thailand
China,Brazil
China,Israel
China,South Korea
China,United Kingdom
China,Russia
China,Chile
China,United States
China,Norway
China,New Zealand
China,Germany
Chile,Egypt
Chile,Hong Kong
Chile,United States
Chile,Israel
Chile,Germany
Chile,United Kingdom
Chile,Greece
Chile,Norway
Chile,India
Chile,New Zealand
Chile,Australia
Chile,Costa Rica
Chile,Netherlands
Chile,Italy
Chile,China
Chile,Japan
Chile,Portugal
Chile,Saudi Arabia
Chile,France
Chile,United Arab Emirates
Chile,Brazil
Croatia,United Kingdom
Croatia,United States
Croatia,Mexico
Croatia,Nepal
Croatia,South Korea
Croatia,Costa Rica
Croatia,Colombia
Croatia,Netherlands
Croatia,Austria
Croatia,Brazil
Croatia,Greece
Croatia,Hong Kong
Croatia,Denmark
Croatia,Japan
Croatia,Libya
