Parametro: str,valor: int
att_range_arthas,20
att_speed_arthas,10
speed_arthas,7
strengh_arthas,25
health_arthas,750
cooldown_arthas,45
att_range_chau,40
att_speed_chau,10
speed_chau,30
strengh_chau,5
cooldown_chau,30
health_chau,500
att_range_hernan,5
att_speed_hernan,10
speed_hernan,10
strengh_hernan,20
health_hernan,666
cooldown_hernan,40
spell_range_hernan,30
spell_danar_range_hernan,30
spell_danar_dano_hernan,100
spawn_champion,10
health_weak_subdito,45
speed_weak_subdito,8
strengh_weak_subdito,2
att_speed_weak_subdito,1
att_range_weak_subdito,5
health_strong_subdito,60
speed_strong_subdito,8
strengh_stong_subdito,4
att_speed_strong_subdito,1
att_range_strong_subdito,20
health_hulk_subdito,120
speed_hulk_subdito,10
spawn_subdito,10
health_tower,250
strengh_tower,30
att_speed_tower,1
att_range_tower,40
health_nexo,1200
health_inhibidor,600
spawn_inhibidor,30
cost_froustmorne,5
upgrade_froustmorne,2
cost_ballesta,5
upgrade_ballesta,2
cost_boots,2
upgrade_boots,3
cost_objeto_magico,7
upgrade_objeto_magico,2
cost_armadura,5
upgrade_armadura,2
cost_carta,10
upgrade_carta,6
point_kill_subdito,1
point_kill_champion,5
point_kill_building,15
